4	204	1
11	25	1
11	26	1
16	152	1
26	148	1
27	217	1
28	188	1
34	25	1
35	26	1
38	113	1
40	32	1
42	27	1
42	144	1
44	7	1
44	11	1
48	192	1
50	45	1
57	25	1
57	44	1
57	45	1
59	11	1
60	42	1
61	89	1
62	229	1
65	34	1
68	204	1
77	104	1
79	74	1
81	7	1
85	206	1
87	221	1
89	204	1
91	227	1
95	238	1
96	93	1
97	27	1
102	78	1
102	156	1
105	122	1
106	26	1
107	8	1
107	112	1
120	97	1
120	121	1
120	125	1
125	3	1
125	185	1
125	191	1
125	235	1
130	92	1
131	128	1
132	148	1
134	135	1
134	206	1
138	188	1
138	230	1
140	24	1
143	25	1
143	96	1
145	78	1
146	7	1
153	135	1
155	241	1
157	64	1
159	90	1
160	218	1
164	61	1
167	35	1
168	45	1
168	144	1
168	155	1
169	154	1
170	74	1
172	29	1
174	223	1
177	141	1
179	177	1
180	155	1
183	54	1
186	110	1
187	166	1
188	42	1
188	75	1
190	92	1
196	64	1
198	54	1
199	80	1
200	92	1
206	35	1
206	42	1
206	45	1
208	178	1
209	103	1
210	17	1
210	234	1
210	248	1
212	208	1
212	227	1
213	53	1
213	54	1
216	5	1
218	25	1
218	27	1
224	191	1
233	240	1
246	235	1
248	6	1
251	111	1
251	228	1
252	32	1
264	7	1
273	190	1
274	131	1
276	31	1
284	15	1
285	43	1
288	42	1
288	44	1
288	93	1
291	192	1
300	27	1
300	89	1
301	84	1
301	164	1
303	104	1
303	194	1
306	31	1
310	2	1
310	83	1
314	44	1
