1	145	1
7	67	1
12	206	1
16	148	1
17	78	1
19	7	1
26	19	1
27	223	1
28	190	1
29	188	1
35	118	1
35	202	1
38	109	1
38	114	1
42	8	1
42	42	1
42	89	1
42	183	1
46	10	1
50	43	1
55	7	1
55	8	1
57	42	1
58	128	1
62	227	1
67	27	1
68	7	1
70	221	1
72	104	1
73	153	1
79	27	1
79	43	1
83	74	1
83	204	1
84	32	1
84	33	1
90	178	1
91	208	1
94	230	1
95	4	1
96	90	1
96	94	1
96	95	1
97	10	1
99	90	1
105	185	1
106	27	1
107	7	1
113	66	1
120	84	1
120	105	1
122	54	1
123	24	1
123	89	1
123	92	1
125	7	1
125	25	1
125	110	1
125	111	1
125	117	1
125	193	1
125	232	1
129	78	1
130	26	1
130	27	1
132	27	1
136	144	1
138	186	1
139	36	1
143	26	1
143	45	1
144	191	1
148	92	1
152	221	1
153	206	1
159	43	1
159	93	1
160	152	1
162	11	1
166	102	1
167	59	1
170	232	1
180	186	1
200	26	1
200	95	1
202	148	1
202	243	1
203	221	1
210	192	1
218	28	1
219	11	1
223	103	1
223	244	1
235	7	1
235	12	1
238	10	1
239	188	1
239	191	1
243	134	1
246	24	1
246	25	1
246	234	1
248	243	1
250	29	1
250	155	1
251	135	1
252	113	1
256	15	1
261	24	1
263	11	1
263	77	1
264	10	1
266	40	1
268	54	1
269	44	1
273	191	1
278	31	1
283	184	1
283	238	1
285	7	1
285	94	1
285	95	1
287	142	1
291	188	1
291	191	1
296	208	1
297	163	1
300	25	1
305	39	1
310	245	1
313	231	1
