3	39	1
4	89	1
13	3	1
16	149	1
20	37	1
29	191	1
31	173	1
33	41	1
35	8	1
38	116	1
38	117	1
42	24	1
42	26	1
43	154	1
44	8	1
45	29	1
45	31	1
47	154	1
49	12	1
51	32	1
51	154	1
54	44	1
57	7	1
57	8	1
59	7	1
59	8	1
61	90	1
61	95	1
66	24	1
67	29	1
69	177	1
74	7	1
76	45	1
81	45	1
82	123	1
92	167	1
93	188	1
94	185	1
94	186	1
94	231	1
94	235	1
94	247	1
96	31	1
97	8	1
98	178	1
99	27	1
99	94	1
102	101	1
103	42	1
103	89	1
104	25	1
105	191	1
106	29	1
108	86	1
108	129	1
108	165	1
108	177	1
114	78	1
115	231	1
125	188	1
125	230	1
125	231	1
126	104	1
129	128	1
132	24	1
132	29	1
132	43	1
132	89	1
132	95	1
136	45	1
137	92	1
138	191	1
138	236	1
142	30	1
142	204	1
143	92	1
158	68	1
161	208	1
168	43	1
170	247	1
178	227	1
179	178	1
182	5	1
186	112	1
186	115	1
191	183	1
195	27	1
200	25	1
204	8	1
204	11	1
207	33	1
210	185	1
212	228	1
212	229	1
214	177	1
215	78	1
217	100	1
217	240	1
228	156	1
232	10	1
233	211	1
234	113	1
235	8	1
238	8	1
241	173	1
242	9	1
242	120	1
244	84	1
246	247	1
256	167	1
262	24	1
265	36	1
269	43	1
281	78	1
282	17	1
285	90	1
288	94	1
291	117	1
291	193	1
291	235	1
295	38	1
300	26	1
303	154	1
304	31	1
307	178	1
310	168	1
311	54	1
313	232	1
314	42	1
315	29	1
315	89	1
